GEO_ID,NAME,S1501_C01_005E,S1501_C01_015E,SUM,,,,,,,,,,
37001,"Alamance County, North Carolina",1082,28301,29383,,,,,,,,,,
37003,"Alexander County, North Carolina",234,3826,4060,,,,,,,,,,
37005,"Alleghany County, North Carolina",119,1768,1887,,,,,,,,,,
37007,"Anson County, North Carolina",137,1952,2089,,,,,,,,,,
37009,"Ashe County, North Carolina",161,4124,4285,,,,,,,,,,
37011,"Avery County, North Carolina",67,3171,3238,,,,,,,,,,
37013,"Beaufort County, North Carolina",160,7113,7273,,,,,,,,,,
37015,"Bertie County, North Carolina",20,2074,2094,,,,,,,,,,
37017,"Bladen County, North Carolina",56,4344,4400,,,,,,,,,,
37019,"Brunswick County, North Carolina",351,32133,32484,,,,,,,,,,
37021,"Buncombe County, North Carolina",1927,79322,81249,,,,,,,,,,
37023,"Burke County, North Carolina",449,11037,11486,,,,,,,,,,
37025,"Cabarrus County, North Carolina",1870,47123,48993,,,,,,,,,,
37027,"Caldwell County, North Carolina",478,9369,9847,,,,,,,,,,
37029,"Camden County, North Carolina",35,1524,1559,,,,,,,,,,
37031,"Carteret County, North Carolina",302,15036,15338,,,,,,,,,,
37033,"Caswell County, North Carolina",235,2609,2844,,,,,,,,,,
37035,"Catawba County, North Carolina",1353,25387,26740,,,,,,,,,,
37037,"Chatham County, North Carolina",477,23516,23993,,,,,,,,,,
37039,"Cherokee County, North Carolina",131,4805,4936,,,,,,,,,,
37041,"Chowan County, North Carolina",44,2307,2351,,,,,,,,,,
37043,"Clay County, North Carolina",0,2347,2347,,,,,,,,,,
37045,"Cleveland County, North Carolina",601,13135,13736,,,,,,,,,,
37047,"Columbus County, North Carolina",234,5068,5302,,,,,,,,,,
37049,"Craven County, North Carolina",611,16899,17510,,,,,,,,,,
37051,"Cumberland County, North Carolina",2707,53183,55890,,,,,,,,,,
37053,"Currituck County, North Carolina",163,4913,5076,,,,,,,,,,
37055,"Dare County, North Carolina",343,10558,10901,,,,,,,,,,
37057,"Davidson County, North Carolina",1366,22226,23592,,,,,,,,,,
37059,"Davie County, North Carolina",172,7397,7569,,,,,,,,,,
37061,"Duplin County, North Carolina",218,5838,6056,,,,,,,,,,
37063,"Durham County, North Carolina",6847,108453,115300,,,,,,,,,,
37065,"Edgecombe County, North Carolina",196,5879,6075,,,,,,,,,,
37067,"Forsyth County, North Carolina",4293,86341,90634,,,,,,,,,,
37069,"Franklin County, North Carolina",358,10046,10404,,,,,,,,,,
37071,"Gaston County, North Carolina",1253,33981,35234,,,,,,,,,,
37073,"Gates County, North Carolina",64,1045,1109,,,,,,,,,,
37075,"Graham County, North Carolina",0,819,819,,,,,,,,,,
37077,"Granville County, North Carolina",293,10103,10396,,,,,,,,,,
37079,"Greene County, North Carolina",33,1561,1594,,,,,,,,,,
37081,"Guilford County, North Carolina",5684,130366,136050,,,,,,,,,,
37083,"Halifax County, North Carolina",110,5291,5401,,,,,,,,,,
37085,"Harnett County, North Carolina",928,19342,20270,,,,,,,,,,
37087,"Haywood County, North Carolina",515,12970,13485,,,,,,,,,,
37089,"Henderson County, North Carolina",548,27352,27900,,,,,,,,,,
37091,"Hertford County, North Carolina",154,2654,2808,,,,,,,,,,
37093,"Hoke County, North Carolina",149,6472,6621,,,,,,,,,,
37095,"Hyde County, North Carolina",0,402,402,,,,,,,,,,
37097,"Iredell County, North Carolina",1175,36698,37873,,,,,,,,,,
37099,"Jackson County, North Carolina",662,7968,8630,,,,,,,,,,
37101,"Johnston County, North Carolina",612,32484,33096,,,,,,,,,,
37103,"Jones County, North Carolina",51,1017,1068,,,,,,,,,,
37105,"Lee County, North Carolina",323,8483,8806,,,,,,,,,,
37107,"Lenoir County, North Carolina",349,6097,6446,,,,,,,,,,
37109,"Lincoln County, North Carolina",556,14036,14592,,,,,,,,,,
37111,"McDowell County, North Carolina",239,6109,6348,,,,,,,,,,
37113,"Macon County, North Carolina",142,6349,6491,,,,,,,,,,
37115,"Madison County, North Carolina",157,4694,4851,,,,,,,,,,
37117,"Martin County, North Carolina",105,2482,2587,,,,,,,,,,
37119,"Mecklenburg County, North Carolina",16837,338590,355427,,,,,,,,,,
37121,"Mitchell County, North Carolina",65,2464,2529,,,,,,,,,,
37123,"Montgomery County, North Carolina",185,3108,3293,,,,,,,,,,
37125,"Moore County, North Carolina",509,27871,28380,,,,,,,,,,
37127,"Nash County, North Carolina",653,13842,14495,,,,,,,,,,
37129,"New Hanover County, North Carolina",3605,67230,70835,,,,,,,,,,
37131,"Northampton County, North Carolina",0,2263,2263,,,,,,,,,,
37133,"Onslow County, North Carolina",1269,25116,26385,,,,,,,,,,
37135,"Orange County, North Carolina",4355,55545,59900,,,,,,,,,,
37137,"Pamlico County, North Carolina",36,2152,2188,,,,,,,,,,
37139,"Pasquotank County, North Carolina",203,6342,6545,,,,,,,,,,
37141,"Pender County, North Carolina",162,12616,12778,,,,,,,,,,
37143,"Perquimans County, North Carolina",15,1992,2007,,,,,,,,,,
37145,"Person County, North Carolina",152,4444,4596,,,,,,,,,,
37147,"Pitt County, North Carolina",3714,35349,39063,,,,,,,,,,
37149,"Polk County, North Carolina",107,5265,5372,,,,,,,,,,
37151,"Randolph County, North Carolina",526,16071,16597,,,,,,,,,,
37153,"Richmond County, North Carolina",175,5443,5618,,,,,,,,,,
37155,"Robeson County, North Carolina",426,11970,12396,,,,,,,,,,
37157,"Rockingham County, North Carolina",227,10019,10246,,,,,,,,,,
37159,"Rowan County, North Carolina",810,19334,20144,,,,,,,,,,
37161,"Rutherford County, North Carolina",470,9247,9717,,,,,,,,,,
37163,"Sampson County, North Carolina",350,6132,6482,,,,,,,,,,
37165,"Scotland County, North Carolina",211,3665,3876,,,,,,,,,,
37167,"Stanly County, North Carolina",325,7679,8004,,,,,,,,,,
37169,"Stokes County, North Carolina",113,4503,4616,,,,,,,,,,
37171,"Surry County, North Carolina",457,9103,9560,,,,,,,,,,
37173,"Swain County, North Carolina",29,2018,2047,,,,,,,,,,
37175,"Transylvania County, North Carolina",87,8811,8898,,,,,,,,,,
37177,"Tyrrell County, North Carolina",97,322,419,,,,,,,,,,
37179,"Union County, North Carolina",1966,54397,56363,,,,,,,,,,
37181,"Vance County, North Carolina",160,5288,5448,,,,,,,,,,
37183,"Wake County, North Carolina",21772,395000,416772,,,,,,,,,,
37185,"Warren County, North Carolina",64,2224,2288,,,,,,,,,,
37187,"Washington County, North Carolina",10,1058,1068,,,,,,,,,,
37189,"Watauga County, North Carolina",1600,13965,15565,,,,,,,,,,
37191,"Wayne County, North Carolina",507,16330,16837,,,,,,,,,,
37193,"Wilkes County, North Carolina",229,7888,8117,,,,,,,,,,
37195,"Wilson County, North Carolina",620,11154,11774,,,,,,,,,,
37197,"Yadkin County, North Carolina",219,3475,3694,,,,,,,,,,
37199,"Yancey County, North Carolina",42,2706,2748,,,,,,,,,,
